"Summary","Issue Type","Epic Name","Epic Link","Description","Component","Labels","Labels","Labels","Labels"
"Confirm the sweep depths and choose a dataset with curriculum","Task","","AI Lab: decision tree model","*Delivers:* no PR
*Blocked by:* Implement DecisionTreeTrainer with a maxDepth sweep

h3. Why
No PR. This is a decision that has to be made before the levels can be authored.

The candidate depths [1, 2, 3, 5, 8] are an engineering starting point, not a considered pedagogy. A depth-limited tree on small noisy data can also score below KNN, which would teach the wrong lesson.

h3. Scope
* Agree the candidate depths with curriculum.
* Choose or build a dataset where a shallow tree splits meaningfully.
* Decide whether any level should fix the depth instead of sweeping. `mode` is an open object, so `mode.maxDepth` needs no schema change.

h3. Files
* {{openspec/changes/ailab-decision-tree/design.md (Open Questions)}}

h3. Acceptance criteria
* The depth list is agreed and recorded.
* A named dataset is chosen, and a tree on it beats or matches KNN.
* If the agreed depths differ from the shipped list, file a follow-up ticket for the change.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 6.1, 6.2)","AI Lab","ailab","ailab-decision-tree","ailab-levels-qa","no-pr"
"QA the Lab2 AI Lab path end to end","Task","","AI Lab: decision tree model","*Delivers:* no PR
*Blocked by:* Author the Lab2 decision tree levels

h3. Why
No PR. This is a manual pass.

Lab2 AI Lab has only ever been exercised by three internal test levels. Curriculum levels are about to depend on it, so the path itself needs a pass, not only the new algorithm.

h3. Scope
* Walk the full panel flow on a real level.
* Check the accuracy gate. `mode.requireAccuracy` is enforced inside the package's own `navigationValidation.ts`, not through Lab2 validation.
* Save a model.
* Confirm progress is reported on continue.
* File a ticket per defect found. Do not fix in place.

h3. Files
* {{apps/src/ailab/lab2/views/AilabView.tsx}}

h3. Acceptance criteria
* Every panel renders and navigates.
* The accuracy gate blocks continue below the threshold.
* The level is marked complete after continue.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec task 6.4)","AI Lab","ailab","ailab-decision-tree","ailab-levels-qa","no-pr"
"QA the cross-stack model save and predict loop","Task","","AI Lab: decision tree model","*Delivers:* no PR
*Blocked by:* Add the decision tree branch to MLTrainers.predict; Author the Lab2 decision tree levels

h3. Why
No PR. This is a manual pass.

AI Lab and App Lab are on different stacks but share one prediction path. A tree saved in Lab2 is consumed by Lab1 code, and models saved before this epic must keep working.

h3. Scope
* Train a tree in a Lab2 level, save it, then predict from it in App Lab.
* Confirm a KNN model saved before the first ticket still predicts correctly after every ticket deploys.

h3. Files
* {{apps/src/MLTrainers.js}}
* {{apps/src/applab/ai.js}}

h3. Acceptance criteria
* A tree model predicts correctly from an App Lab program.
* A pre-epic KNN model predicts correctly.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 6.5, 6.6)","AI Lab","ailab","ailab-decision-tree","ailab-levels-qa","no-pr"
"Record current KNN behavior in characterization tests","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/knn-characterization-tests}}
*Merge order:* 1
*Blocked by:* nothing

h3. Why
Every ticket in this phase claims to change no behavior. That claim needs a test that exists BEFORE the refactor. A parity test that you write afterwards records the behavior of the changed code. It does not record the behavior of the code before the change.

The save-and-reload path also has no test today, for either algorithm.

h3. Scope
* Add tests over two seeded datasets. One dataset has a categorical label. The other has a numerical label.
* Record these values for each dataset: the chosen `k`, the reported accuracy, the `selectedTrainer` string, `kValue`, and the predictions.
* Add the missing round-trip test: train, `toJSON`, `load`, predict, compare.
* Put the recorded values into the tests as the expected values. Any later ticket that moves one has to say why in its PR description.

h3. Files
* {{frontend/packages/labs/ailab/test/unit/}}

h3. Acceptance criteria
* The suite fails if a refactor changes a chosen `k`, an accuracy, a saved string, or a prediction.
* The round-trip test passes for both label column types.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 1.8, 2.7)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Define the Trainer interface and the trainer registry","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/trainer-interface}}
*Merge order:* 2
*Blocked by:* Record current KNN behavior in characterization tests

h3. Why
AI Lab has one algorithm. There is no interface that lets you add a second one. `train.ts` constructs `KNNTrainer` directly.

h3. Scope
* Add `src/trainers/types.ts` with a `Trainer` interface: `startTraining`, `predict`, `batchPredict`.
* Add a `TrainerId` union covering `knnClassify`, `knnRegress`, `treeClassify` and `treeRegress`.
* Add a registry that maps a trainer family to a constructor. Give it one entry: `knn`.
* Change `train.ts` to build the trainer from the registry. Do not read `mode` yet. Default to `knn`.

h3. Files
* {{frontend/packages/labs/ailab/src/trainers/types.ts (new)}}
* {{frontend/packages/labs/ailab/src/train.ts}}

h3. Acceptance criteria
* The characterization suite passes unchanged.
* The registry has exactly one entry.
* `typecheck` passes.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 1.1-1.3)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Make KNNTrainer implement Trainer, and keep the winning model","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/knn-trainer-interface}}
*Merge order:* 3
*Blocked by:* Define the Trainer interface and the trainer registry

h3. Why
`getOptimalModelDetails` leaves `this.knn` set to the model for the last candidate `k`, not the best one. Nothing depends on it today, because `predict()` reads `state.trainedModel`. Fix it before a second trainer copies the pattern.

h3. Scope
* Make `KNNTrainer` implement the `Trainer` interface.
* Keep every existing method and every existing `k` candidate rule unchanged.
* Set the trainer's own model to the winner of the sweep.
* Add a test that a `batchPredict` call after training uses the winning model.

h3. Files
* {{frontend/packages/labs/ailab/src/trainers/KNNTrainer.ts}}

h3. Acceptance criteria
* The characterization suite passes unchanged.
* A `batchPredict` call after training uses the winning model.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 1.4, 1.7)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Remove the ml-knn type from Redux, types and the store","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/drop-knn-type-from-redux}}
*Merge order:* 4
*Blocked by:* Make KNNTrainer implement Trainer, and keep the winning model

h3. Why
Redux types the trained model as `KNN`. That type is what makes a second algorithm impossible to add without touching the store.

h3. Scope
* Remove the `ml-knn` type import from `redux.ts` and from `types.ts`.
* Type `trainedModel` through the `Trainer` interface instead.
* Keep the `serializableCheck` exception in `store.ts`. Update its comment: the model is no longer specifically a KNN instance.

h3. Files
* {{frontend/packages/labs/ailab/src/redux.ts}}
* {{frontend/packages/labs/ailab/src/types.ts}}
* {{frontend/packages/labs/ailab/src/store.ts}}

h3. Acceptance criteria
* No file outside `src/trainers/` imports from `ml-knn`.
* No Redux serializable-check warning appears in the console.
* The characterization suite passes unchanged.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec task 1.5)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Take selectedTrainer from the trainer id","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/selected-trainer-from-id}}
*Merge order:* 5
*Blocked by:* Define the Trainer interface and the trainer registry

h3. Why
`getTrainedModelDataToSave` derives `selectedTrainer` from `isRegression(state)`. The trainer id must become the source of truth, because a second algorithm makes the label column type insufficient on its own.

h3. Scope
* Set `selectedTrainer` from the trainer id.
* Keep the label column type as the choice between classification and regression.

h3. Files
* {{frontend/packages/labs/ailab/src/redux.ts}}

h3. Acceptance criteria
* A KNN model saves `knnClassify` or `knnRegress`, byte-identical to today. `apps/src/MLTrainers.js` and every stored model depend on these strings.
* The characterization test for the saved string passes unchanged.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec task 1.6)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Extract gradeAccuracy as a pure function","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/pure-grade-accuracy}}
*Merge order:* 6
*Blocked by:* Record current KNN behavior in characterization tests

h3. Why
Grading only exists as selectors over store state. A hyperparameter sweep cannot grade a candidate without writing it to the store first.

h3. Scope
* Add `gradeAccuracy(predictedLabels, expectedLabels, options)` to `src/helpers/accuracy.ts`. Return the grades and the percentage.
* Carry the regression tolerance and the label range in the options.
* Reimplement `getAccuracyClassification` and `getAccuracyRegression` over it. Keep their signatures, so no user interface component changes.
* Unit-test an exact match for a categorical label, the 5%-of-range tolerance for a numerical label, and an empty prediction list.

h3. Files
* {{frontend/packages/labs/ailab/src/helpers/accuracy.ts}}

h3. Acceptance criteria
* Reported accuracy is unchanged; the characterization suite passes.
* The new unit tests cover all three cases.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 2.1, 2.2, 2.6)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Remove the Redux round-trip from the k sweep","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/knn-sweep-no-redux}}
*Merge order:* 7
*Blocked by:* Extract gradeAccuracy as a pure function

h3. Why
The sweep dispatches `setAccuracyCheckPredictedLabels`, then reads its own accuracy back out of the store through `getAccuracyPercent`. The two calls must stay in that order, or each candidate is graded against the previous candidate's predictions.

h3. Scope
* Call `gradeAccuracy` directly for each candidate `k`.
* Remove the dispatch-then-read-back pair.
* Dispatch the winning predictions once, after the sweep finishes.

h3. Files
* {{frontend/packages/labs/ailab/src/trainers/KNNTrainer.ts}}

h3. Acceptance criteria
* No trainer reads accuracy back out of the store.
* The chosen `k` is unchanged; the characterization suite passes.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec task 2.3)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Read hyperparameters before kValue in MLTrainers.predict","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/mltrainers-read-hyperparameters}}
*Merge order:* 8 (independent — you can start now)
*Blocked by:* nothing

h3. Why
You must deploy this reader before anything writes the new field. It touches no lab code, so it can be worked at any time and merged first among the App Lab tickets.

`apps/src/MLTrainers.js` is Lab1 code, but Lab2 levels save the models that reach it.

h3. Scope
* Take the value from `hyperparameters` when it is present.
* Fall back to the top-level `kValue`.

h3. Files
* {{apps/src/MLTrainers.js}}

h3. Acceptance criteria
* A model with only `kValue` still predicts correctly.
* A model with both fields takes the value from `hyperparameters`.
* Tests cover both shapes.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec task 2.5)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Add the hyperparameters field to the saved model","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/saved-model-hyperparameters}}
*Merge order:* 9
*Blocked by:* Read hyperparameters before kValue in MLTrainers.predict

h3. Why
`ModelDataToSave.kValue` is a top-level nullable number with no meaning for any trainer other than KNN. The reader must be deployed before this writer, so a rollback of either side stays safe.

h3. Scope
* Add `hyperparameters: Record<string, number>` to `ModelDataToSave`.
* Populate it with `{k}` for a KNN model.
* Keep writing the legacy top-level `kValue` for one release.

h3. Files
* {{frontend/packages/labs/ailab/src/types.ts}}
* {{frontend/packages/labs/ailab/src/redux.ts}}

h3. Acceptance criteria
* A saved KNN model carries both `hyperparameters.k` and `kValue`, with the same value.
* No stored model is rewritten. There is no data migration.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec task 2.4)","AI Lab","ailab","ailab-decision-tree","ailab-trainer-seam",""
"Expose the trained tree as a labeled node model","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/tree-node-model}}
*Merge order:* 19
*Blocked by:* Implement DecisionTreeTrainer with a maxDepth sweep

h3. Why
The serialized tree contains feature indices and encoded values. A view needs names and readable conditions. A pure translation is testable without any user interface. This matters here, because the package has no storybook.

This ticket does not depend on the design decision. It is a faithful translation of what the model holds, whatever the panel later chooses to draw.

h3. Scope
* Add a pure function that walks `model.toJSON().root` and returns a node tree.
* For an internal node, give the feature name from `state.selectedFeatures[splitColumn]`, the threshold, the gain, and `numberSamples`.
* For a leaf, give the predicted label in display form and the class proportions.
* Resolve a leaf label with the same argmax the library uses. `distribution` is a ragged proportional row: `[[0,0,1]]` is class 2 at 100%, and its length is NOT the class count.
* Branch on `name`: a `DTClassifier` leaf carries a matrix, a `DTRegression` leaf carries a plain number, which is the leaf mean.
* Convert a label and a categorical feature value back to a string through `featureNumberKey`, as the rest of the lab does.
* Flag a tie leaf, such as `[[0, 0.5, 0.5]]`. The library resolves it to the first class; a view may want to say so.
* Report tree depth and node count, so a view can decide what it can draw.

h3. Files
* {{frontend/packages/labs/ailab/src/helpers/treeModel.ts (new)}}
* {{frontend/packages/labs/ailab/test/unit/}}

h3. Acceptance criteria
* A fixture tree translates to the expected node tree.
* A ragged distribution resolves to the correct label.
* A regression leaf yields its mean.
* A tie leaf is flagged.
* A categorical feature's name and its label both appear in display form.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec design.md Open Questions)","AI Lab","ailab","ailab-decision-tree","ailab-tree-viz",""
"Add the tree panel","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/tree-panel}}
*Merge order:* 20
*Blocked by:* Expose the trained tree as a labeled node model; Decide what the tree panel shows and where it lives

h3. Why
This is the visualization. It is also the reason to prefer a tree over KNN.

This is one PR, not a component PR and a separate wiring PR. The package has no storybook. A component that the lab does not show gives a reviewer nothing to look at.

h3. Scope
* Build the view over the node model from the previous ticket. Draw with SVG. The package already has chart.js through react-chartjs-2 for the bar and scatter charts, and neither fits a tree, so do not add a charting dependency.
* Wire the panel: `ContentPanel` and `Panel` in `types.ts`, the render branch in `App.tsx`, `currentPanel` handling, the prev and next buttons, `navigationValidation.ts`, and an `InstructionsKey` entry.
* Show the panel only for a tree model. A KNN level must not gain an empty panel.
* Handle the large-tree behavior agreed in the decision ticket.
* Wide content scrolls inside its own container. The page must not scroll sideways.
* Keyboard reachable, with a text alternative for the structure.

h3. Files
* {{frontend/packages/labs/ailab/src/UIComponents/TreePanel.tsx (new)}}
* {{frontend/packages/labs/ailab/src/App.tsx}}
* {{frontend/packages/labs/ailab/src/types.ts}}
* {{frontend/packages/labs/ailab/src/redux.ts}}
* {{frontend/packages/labs/ailab/src/helpers/navigationValidation.ts}}

h3. Acceptance criteria
* A tree level shows the panel, and the drawing matches the trained model.
* A KNN level shows no panel.
* The flow navigates in both directions through the new panel.
* The panel is keyboard reachable and has a text alternative.
* A deep tree degrades as agreed rather than overflowing.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec design.md Open Questions)","AI Lab","ailab","ailab-decision-tree","ailab-tree-viz",""
